Profile Key 1,Profile Key 2,IDENT,D1,SIB,D2,D(3)
AM40-NA,BF40-NA,<10000,36733.6,<10000,<10000,<10000
AM41-NA,BF41-NA,<10000,10835,<10000,<10000,<10000
AM41-NA,BM41-NA,<10000,3.98302e+06,32168.1,27823.4,<10000
AM42-NA,BM42-NA,<10000,156211,10079.1,<10000,<10000
AM43-NA,BF43-NA,<10000,36673.4,<10000,<10000,<10000
AM44-NA,BF44-NA,<10000,1.03554e+06,42072.2,11459.8,<10000
AM44-NA,BM44-NA,<10000,465106,130039,<10000,<10000
AM45-NA,BF45-NA,<10000,463853,76817,<10000,<10000
AM45-NA,BM45-NA,<10000,155015,13680.4,<10000,<10000
AM46-NA,BF46-NA,<10000,1.97424e+06,218965,24390.6,<10000
AM46-NA,BM46-NA,<10000,35916.5,<10000,<10000,<10000
AM47-NA,BF47-NA,<10000,49775.6,<10000,<10000,<10000
AM47-NA,BM47-NA,<10000,28390.5,11653.5,<10000,<10000
AM48-NA,BF48-NA,<10000,4.16134e+06,6.5403e+06,96377.5,<10000
AM48-NA,BM48-NA,<10000,1.11543e+07,1.03844e+06,146779,<10000
